call_id,customer_id,tower_id,call_type,duration_sec,cost,dropped_flag,call_date
CALL_0000072,6840-RESVB,TOWER_046,SMS,2365,43.53,0,2025-10-19
CALL_0000073,2665-NPTGL,TOWER_036,SMS,1219,5.11,0,2026-04-09
CALL_0000074,9643-AVVWI,TOWER_003,Data,3597,21.07,0,2025-10-13
CALL_0000075,9701-CDXHR,TOWER_048,Voice,561,3.53,0,2026-02-02
CALL_0000076,0607-DAAHE,TOWER_031,Voice,1922,40.49,0,2025-06-09
CALL_0000077,0697-ZMSWS,TOWER_017,Voice,2421,46.99,0,2025-12-21
CALL_0000078,7018-FPXHH,TOWER_022,Voice,759,32.46,0,2025-10-24
CALL_0000079,9415-ZNBSX,TOWER_007,SMS,3327,0.94,0,2025-10-27
CALL_0000080,2586-CWXVV,TOWER_009,Voice,3023,47.87,0,2026-04-06
CALL_0000081,0487-VVUVK,TOWER_027,Voice,2792,26.2,0,2025-05-17
CALL_0000082,1393-IMKZG,TOWER_047,Voice,2018,27.42,0,2025-09-30
CALL_0000083,9094-AZPHK,TOWER_040,SMS,1592,9.7,0,2026-02-15
CALL_0000084,3707-LRWZD,TOWER_009,Data,2420,20.64,0,2025-09-24
CALL_0000085,9298-WGMRW,TOWER_016,SMS,3507,44.49,0,2025-10-15
CALL_0000086,0980-PVMRC,TOWER_042,SMS,2039,0.17,0,2026-04-24
CALL_0000087,2692-AQCPF,TOWER_013,SMS,1037,34.6,0,2025-06-06
CALL_0000088,4274-OWWYO,TOWER_042,SMS,492,48.36,0,2025-06-27
CALL_0000089,9172-JITSM,TOWER_003,Voice,1024,37.27,0,2026-02-02
CALL_0000090,1472-TNCWL,TOWER_026,Voice,894,13.9,0,2025-07-13
CALL_0000091,4301-VVZKA,TOWER_042,Voice,2938,5.63,0,2025-12-17
CALL_0000092,0795-XCCTE,TOWER_007,Data,846,22.41,0,2025-12-27
CALL_0000093,6791-YBNAK,TOWER_008,Data,1332,48.86,0,2025-05-23
CALL_0000094,0516-WJVXC,TOWER_044,Data,1817,33.19,0,2025-11-08
CALL_0000095,8775-CEBBJ,TOWER_014,Data,1447,9.48,0,2025-10-30
CALL_0000096,2506-TNFCO,TOWER_043,Voice,2007,24.5,1,2026-01-12
CALL_0000097,1013-QCWAM,TOWER_017,Voice,1775,23.23,0,2025-06-26
CALL_0000098,7803-XOCCZ,TOWER_004,SMS,1880,26.26,0,2025-07-31
CALL_0000099,5405-ZMYXQ,TOWER_019,Voice,1161,14.04,0,2026-01-16
CALL_0000100,4682-BLBUC,TOWER_031,SMS,268,29.37,0,2026-01-21
CALL_0000101,6838-HVLXG,TOWER_015,Data,823,34.45,0,2025-09-24
CALL_0000102,2054-PJOCK,TOWER_025,Data,658,24.07,0,2025-09-22
CALL_0000103,8734-FNWVH,TOWER_002,Voice,2643,24.35,0,2025-07-24
CALL_0000104,4193-IBKSW,TOWER_036,SMS,2630,46.71,1,2026-03-06
CALL_0000105,2267-FPIMA,TOWER_024,SMS,1044,34.53,0,2025-12-17
CALL_0000106,3298-QEICA,TOWER_034,Data,3058,20.25,0,2026-04-08
CALL_0000107,9412-GHEEC,TOWER_007,Voice,1159,12.68,0,2025-09-14
CALL_0000108,3977-QCRSL,TOWER_043,SMS,3506,30.72,0,2026-04-04
CALL_0000109,1518-VOWAV,TOWER_012,SMS,2036,48.87,1,2025-08-17
CALL_0000110,8665-UTDHZ,TOWER_002,Data,3148,34.51,0,2025-06-29
CALL_0000111,1100-DDVRV,TOWER_022,Voice,1971,9.75,0,2025-05-17
CALL_0000112,0048-LUMLS,TOWER_047,Data,1029,34.83,0,2025-07-15
CALL_0000113,0788-DXBFY,TOWER_041,Data,2744,42.11,0,2025-05-12
CALL_0000114,2718-GAXQD,TOWER_023,Voice,1557,23.65,0,2025-07-11
CALL_0000115,4154-AQUGT,TOWER_021,Voice,3514,16.87,1,2026-01-11
CALL_0000116,0479-HMSWA,TOWER_035,Data,2020,11.46,0,2026-03-06
CALL_0000117,2853-CWQFQ,TOWER_005,Voice,2315,44.81,0,2025-08-03
CALL_0000118,9281-PKKZE,TOWER_003,Voice,1914,20.68,0,2026-04-17
CALL_0000119,0487-RPVUM,TOWER_044,SMS,1808,35.95,0,2026-03-30
CALL_0000120,4816-LXZYW,TOWER_014,Data,397,1.93,1,2025-12-14
CALL_0000121,8637-XJIVR,TOWER_027,Voice,1149,32.19,1,2026-02-25
CALL_0000122,7244-QWYHG,TOWER_006,Data,970,30.63,0,2026-01-15
CALL_0000123,5175-WLYXL,TOWER_039,SMS,3058,31.49,0,2025-05-13
CALL_0000124,6394-HHHZM,TOWER_031,SMS,1135,27.1,0,2026-04-20
CALL_0000125,3137-LUPIX,TOWER_047,Voice,3450,24.53,0,2025-05-01
CALL_0000126,7198-GLXTC,TOWER_022,Voice,364,25.23,1,2025-11-08
CALL_0000127,0463-WZZKO,TOWER_018,Voice,1750,34.85,0,2025-11-26
CALL_0000128,4402-FTBXC,TOWER_036,SMS,673,1.44,0,2025-05-14
CALL_0000129,3807-XHCJH,TOWER_037,Voice,2734,13.84,1,2025-07-12
CALL_0000130,5977-CKHON,TOWER_015,SMS,186,36.65,0,2026-03-27
CALL_0000131,6265-SXWBU,TOWER_013,Voice,1209,23.1,0,2025-10-13
CALL_0000132,7929-SKFGK,TOWER_040,Voice,129,5.98,0,2025-12-07
CALL_0000133,0011-IGKFF,TOWER_041,Data,3420,34.37,0,2025-09-15
CALL_0000134,9992-UJOEL,TOWER_011,Data,1549,0.48,0,2025-10-03
CALL_0000135,1810-BOHSY,TOWER_012,SMS,3453,44.66,0,2025-12-19
CALL_0000136,7549-MYGPK,TOWER_011,Voice,300,7.77,0,2026-03-26
CALL_0000137,0048-LUMLS,TOWER_045,Voice,1091,35.71,0,2025-12-20
CALL_0000138,3370-HXOPH,TOWER_044,SMS,2424,44.96,0,2026-02-05
CALL_0000139,3892-NXAZG,TOWER_029,Voice,3395,49.86,1,2025-12-26
CALL_0000140,4737-HOBAX,TOWER_014,Data,1741,8.69,0,2025-09-11
CALL_0000141,9700-ZCLOT,TOWER_018,Data,1066,30.35,0,2026-02-07
CALL_0000142,4451-RWASJ,TOWER_002,Voice,1663,14.85,0,2025-05-19
CALL_0000143,4701-LKOZD,TOWER_006,SMS,473,39.85,0,2025-06-29
CALL_0000144,4869-EPIUS,TOWER_015,SMS,2869,26.72,0,2025-10-24
CALL_0000145,1699-HPSBG,TOWER_031,Data,2661,29.08,0,2026-04-03
CALL_0000146,4750-UKWJK,TOWER_004,SMS,737,27.0,0,2025-10-09
CALL_0000147,6689-TCZHQ,TOWER_016,Voice,2083,42.93,1,2025-05-11
CALL_0000148,1455-UGQVH,TOWER_016,SMS,2263,4.27,1,2026-03-14
CALL_0000149,7729-XBTWX,TOWER_017,Data,1361,27.49,0,2025-08-27
CALL_0000150,9867-XOBQA,TOWER_028,Data,3483,41.91,0,2026-04-20
CALL_0000151,0841-NULXI,TOWER_015,SMS,2607,4.56,1,2025-07-05
CALL_0000152,9824-BEMCV,TOWER_005,Data,2953,31.73,0,2025-06-07
CALL_0000153,8100-PNJMH,TOWER_021,Data,675,34.1,0,2025-09-16
CALL_0000154,2314-TNDJQ,TOWER_003,Voice,3196,1.46,0,2025-11-06
CALL_0000155,6141-OOXUQ,TOWER_047,Voice,343,16.19,0,2025-11-16
CALL_0000156,7547-EKNFS,TOWER_041,SMS,333,4.22,1,2026-04-12
CALL_0000157,9818-XQCUV,TOWER_007,Data,3210,44.73,0,2025-06-06
CALL_0000158,6078-VESFR,TOWER_041,SMS,2478,1.39,0,2026-01-03
CALL_0000159,7115-IRDHS,TOWER_021,Data,2754,5.85,1,2025-12-26
CALL_0000160,4628-CTTLA,TOWER_049,Data,1069,8.05,0,2026-02-22
CALL_0000161,8242-JSVBO,TOWER_039,SMS,2361,27.05,0,2025-06-05
CALL_0000162,3981-QSVQI,TOWER_050,Voice,617,8.87,0,2025-07-10
CALL_0000163,9074-KGVOX,TOWER_040,Voice,1287,19.03,0,2025-07-31
CALL_0000164,9385-EHGDO,TOWER_030,Voice,181,30.0,0,2025-09-10
CALL_0000165,1066-JKSGK,TOWER_016,Data,1415,31.87,0,2025-07-27
CALL_0000166,4950-HKQTE,TOWER_034,Data,2172,7.58,0,2025-09-29
CALL_0000167,1898-JSNDC,TOWER_016,Data,612,39.91,0,2025-07-25
CALL_0000168,2027-WKXMW,TOWER_021,Data,2709,2.54,0,2026-02-25
CALL_0000169,7055-JCGNI,TOWER_037,Data,2989,2.19,0,2025-07-02
CALL_0000170,4118-CEVPF,TOWER_031,Voice,1666,10.48,0,2025-08-12
CALL_0000171,0689-NKYLF,TOWER_040,SMS,1885,30.94,0,2025-07-15
CALL_0000172,7727-SHVZV,TOWER_050,SMS,3190,31.85,1,2026-03-13
CALL_0000173,1685-BQULA,TOWER_012,Voice,265,3.13,0,2025-09-08
CALL_0000174,2229-DPMBI,TOWER_008,Data,1036,41.76,0,2025-05-14
CALL_0000175,9361-YNQWJ,TOWER_034,SMS,21,13.15,0,2026-04-07
CALL_0000176,2724-FJDYW,TOWER_042,Voice,2243,47.43,0,2026-02-03
CALL_0000177,0324-BRPCJ,TOWER_016,SMS,795,18.97,1,2025-08-18
CALL_0000178,1977-STDKI,TOWER_042,Voice,1638,13.46,0,2025-12-15
CALL_0000179,2408-TZMJL,TOWER_010,SMS,1639,30.99,0,2026-02-14
CALL_0000180,4307-KWMXE,TOWER_034,SMS,2643,33.51,0,2025-06-02
CALL_0000181,9185-TQCVP,TOWER_020,Voice,85,12.21,0,2025-12-28
CALL_0000182,5955-ERIHD,TOWER_009,Data,2959,36.29,1,2025-12-17
CALL_0000183,1101-SSWAG,TOWER_007,Data,3188,12.67,0,2026-03-21
CALL_0000184,4958-XCBDQ,TOWER_025,Data,2588,19.56,1,2026-04-11
CALL_0000185,4692-NNQRU,TOWER_024,Data,3549,43.69,0,2025-06-06
CALL_0000186,8096-LOIST,TOWER_015,SMS,2768,18.52,0,2026-02-11
CALL_0000187,6695-AMZUF,TOWER_019,Voice,3545,45.58,0,2025-07-25
CALL_0000188,7100-FQPRV,TOWER_031,Data,1261,20.62,0,2025-07-03
CALL_0000189,7401-JIXNM,TOWER_033,SMS,3338,26.56,0,2025-07-02
CALL_0000190,1918-ZBFQJ,TOWER_047,Voice,1509,12.15,1,2025-08-18
CALL_0000191,8050-DVOJX,TOWER_012,Data,1359,36.3,0,2026-03-10
CALL_0000192,6921-OZMFH,TOWER_045,Voice,2760,34.44,0,2026-04-12
CALL_0000193,4115-BNPJY,TOWER_041,Voice,3494,14.64,0,2025-08-13
CALL_0000194,0793-TWELN,TOWER_014,Data,796,41.44,0,2025-12-09
CALL_0000195,3373-DIUUN,TOWER_046,Voice,1617,36.45,0,2025-05-12
CALL_0000196,4576-CSAJH,TOWER_007,Voice,388,35.59,0,2025-10-23
CALL_0000197,0968-GSIKN,TOWER_047,Voice,2230,2.51,0,2025-08-12
CALL_0000198,5035-BVCXS,TOWER_006,SMS,2781,9.98,0,2025-11-08
CALL_0000199,2307-FYNNL,TOWER_042,Data,925,2.06,0,2025-09-30
CALL_0000200,7644-OMVMY,TOWER_047,Voice,344,45.91,0,2026-03-27
CALL_0000201,9367-TCUYN,TOWER_032,Data,1595,4.86,0,2026-01-29
CALL_0000202,9780-FKVVF,TOWER_050,SMS,2951,43.21,0,2025-06-25
CALL_0000203,3170-NMYVV,TOWER_012,Voice,3361,1.43,0,2025-05-12
CALL_0000204,2810-FTLEM,TOWER_007,Data,3190,20.81,0,2026-03-25
CALL_0000205,9658-WYUFB,TOWER_039,SMS,54,12.29,0,2025-11-23
CALL_0000206,2386-LAHRK,TOWER_041,SMS,2038,13.27,0,2025-07-19
CALL_0000207,8949-JTMAY,TOWER_039,Voice,2969,45.41,1,2025-11-29
CALL_0000208,6865-JZNKO,TOWER_044,Voice,1605,18.46,0,2025-09-30
CALL_0000209,0488-GSLFR,TOWER_004,Voice,1275,30.22,0,2025-05-01
CALL_0000210,9248-OJYKK,TOWER_034,SMS,3162,28.79,0,2025-09-17
CALL_0000211,3804-RVTGV,TOWER_015,Voice,1627,26.54,0,2025-09-12
CALL_0000212,4360-QRAVE,TOWER_038,Voice,3099,49.85,0,2025-09-05
CALL_0000213,2761-OCIAX,TOWER_047,Voice,884,30.37,0,2025-06-19
CALL_0000214,4822-YCXMX,TOWER_016,Data,1127,16.83,0,2026-04-19
CALL_0000215,4510-HIMLV,TOWER_017,Voice,2849,37.33,0,2025-06-10
CALL_0000216,5271-DBYSJ,TOWER_034,SMS,1669,47.04,0,2025-10-07
CALL_0000217,5160-UXJED,TOWER_041,Voice,3187,39.62,0,2025-10-02
CALL_0000218,7449-HVPIV,TOWER_026,Data,1784,48.32,0,2025-11-18
CALL_0000219,4024-CSNBY,TOWER_045,Voice,478,37.34,0,2026-03-19
CALL_0000220,5569-KGJHX,TOWER_002,Voice,791,43.75,1,2025-05-24
CALL_0000221,0256-LTHVJ,TOWER_014,Data,1600,19.95,0,2026-02-06
CALL_0000222,8165-CBKXO,TOWER_049,Voice,1583,7.78,0,2026-01-10
CALL_0000223,3082-YVEKW,TOWER_048,Voice,410,47.64,0,2026-03-17
CALL_0000224,3422-GALYP,TOWER_022,Data,214,40.89,0,2025-11-30
CALL_0000225,0906-QVPMS,TOWER_028,SMS,446,24.32,0,2025-06-21
CALL_0000226,3454-JFUBC,TOWER_049,SMS,2639,45.13,0,2025-05-21
CALL_0000227,1399-OUPJN,TOWER_034,Data,1190,37.51,0,2026-03-22
CALL_0000228,9385-EHGDO,TOWER_020,SMS,21,39.71,0,2025-10-05
CALL_0000229,1545-JFUML,TOWER_022,Data,973,23.9,0,2025-05-19
CALL_0000230,3458-IDMFK,TOWER_048,SMS,560,20.43,0,2025-08-12
CALL_0000231,7551-JOHTI,TOWER_024,SMS,2965,6.29,0,2025-06-02
CALL_0000232,4625-LAMOB,TOWER_029,SMS,2843,1.0,0,2025-10-20
CALL_0000233,6365-HITVU,TOWER_024,SMS,2380,35.41,0,2026-04-26
CALL_0000234,7696-AMHOD,TOWER_037,Voice,65,35.76,0,2025-08-03
CALL_0000235,4877-TSOFF,TOWER_038,Voice,1651,37.84,1,2026-04-06
CALL_0000236,7401-RUBNK,TOWER_041,Data,3141,31.26,0,2025-04-30
CALL_0000237,2791-SFVEW,TOWER_050,SMS,1215,41.53,0,2025-09-06
CALL_0000238,6029-WTIPC,TOWER_039,SMS,2990,33.83,0,2025-06-09
CALL_0000239,5995-LFTLE,TOWER_030,Voice,2139,14.85,1,2025-07-27
CALL_0000240,8642-GVWRF,TOWER_038,Data,2609,47.6,1,2025-10-13
CALL_0000241,8305-VHZBZ,TOWER_037,Voice,1206,1.16,0,2026-04-21
CALL_0000242,6624-JDRDS,TOWER_037,SMS,3246,48.75,0,2025-05-11
CALL_0000243,8387-MOJJT,TOWER_013,Voice,758,41.98,1,2025-07-16
CALL_0000244,8690-UPCZI,TOWER_019,Voice,3180,48.46,0,2025-10-22
CALL_0000245,6137-MFAJN,TOWER_004,Data,2549,35.01,0,2025-09-30
CALL_0000246,1386-ZIKUV,TOWER_026,SMS,483,22.91,0,2025-10-17
CALL_0000247,6719-FGEDO,TOWER_002,SMS,1811,8.78,1,2026-01-28
CALL_0000248,3055-VTCGS,TOWER_047,Voice,2130,30.38,0,2026-01-31
CALL_0000249,6849-WLEYG,TOWER_039,Data,2664,12.27,0,2025-05-27
CALL_0000250,6195-MELTI,TOWER_036,Voice,3425,40.96,0,2025-06-22
CALL_0000251,5499-ECUTN,TOWER_023,Data,2719,5.98,0,2025-05-14
CALL_0000252,4189-NAKJS,TOWER_037,SMS,1779,17.13,0,2025-09-29
CALL_0000253,6178-KFNHS,TOWER_010,Data,2419,38.18,1,2025-05-02
CALL_0000254,0365-GXEZS,TOWER_028,SMS,1090,4.77,0,2025-07-05
CALL_0000255,6368-NWMCE,TOWER_025,Data,1667,31.55,0,2025-09-15
CALL_0000256,4597-ELFTS,TOWER_036,Data,3313,21.36,0,2025-11-29
CALL_0000257,4776-XSKYQ,TOWER_010,Voice,3307,26.47,0,2025-07-25
CALL_0000258,9965-YOKZB,TOWER_049,Voice,1032,42.18,0,2026-01-03
CALL_0000259,2845-KDHVX,TOWER_035,Voice,986,29.42,0,2025-04-27
CALL_0000260,8651-ENBZX,TOWER_033,Data,2565,44.96,0,2026-01-07
CALL_0000261,6304-IJFSQ,TOWER_011,Data,3082,11.26,0,2025-05-02
CALL_0000262,7495-OOKFY,TOWER_033,Data,2460,19.59,0,2025-11-24
CALL_0000263,5384-ZTTWP,TOWER_004,Voice,3415,48.98,0,2025-07-26
CALL_0000264,8908-SLFCJ,TOWER_005,Voice,2738,9.75,0,2025-05-30
CALL_0000265,9367-TCUYN,TOWER_002,Voice,272,18.82,0,2026-03-08
CALL_0000266,4237-CLSMM,TOWER_018,Voice,1201,31.53,0,2026-01-11
CALL_0000267,0374-FIUCA,TOWER_021,Voice,1857,20.45,0,2025-10-03
CALL_0000268,6890-PFRQX,TOWER_034,Voice,3572,29.16,0,2026-02-04
CALL_0000269,2722-JMONI,TOWER_041,Voice,207,36.53,0,2025-06-22
CALL_0000270,8966-KZXXA,TOWER_018,Voice,2029,22.09,0,2025-08-02
CALL_0000271,3359-DSRKA,TOWER_011,Voice,2926,47.15,0,2026-04-16
CALL_0000272,0841-NULXI,TOWER_049,Data,2751,6.59,1,2025-07-28
CALL_0000273,0074-HDKDG,TOWER_036,Voice,3056,43.64,0,2026-01-27
CALL_0000274,4712-AUQZO,TOWER_031,Data,196,49.1,0,2025-09-19
CALL_0000275,2462-XIIJB,TOWER_039,Voice,3151,38.91,0,2025-05-30
CALL_0000276,4827-USJHP,TOWER_034,SMS,2186,13.21,0,2026-01-07
CALL_0000277,5816-JMLGY,TOWER_030,Voice,366,46.87,0,2026-03-07
CALL_0000278,4074-SJFFA,TOWER_011,Voice,1413,45.8,0,2025-06-29
CALL_0000279,5828-AVIPD,TOWER_035,Voice,1902,0.63,0,2025-06-06
CALL_0000280,1024-KPRBB,TOWER_011,SMS,417,4.02,1,2025-05-02
CALL_0000281,1934-SJVJK,TOWER_008,Voice,3074,21.15,0,2025-10-29
CALL_0000282,1591-MQJTP,TOWER_043,Data,543,23.44,0,2025-08-17
CALL_0000283,2665-NPTGL,TOWER_023,Data,497,9.6,0,2026-04-02
CALL_0000284,1545-JFUML,TOWER_043,SMS,1216,15.42,0,2025-09-12
CALL_0000285,1337-BOZWO,TOWER_011,SMS,1324,2.48,0,2025-10-11
CALL_0000286,8849-GYOKR,TOWER_003,Voice,1767,13.84,0,2025-06-24
CALL_0000287,2957-LOLHO,TOWER_014,SMS,1025,41.62,0,2025-06-22
CALL_0000288,0689-DSXGL,TOWER_007,Voice,1898,37.07,0,2025-06-17
CALL_0000289,2476-YGEFM,TOWER_011,Voice,308,0.8,0,2026-01-30
CALL_0000290,0114-RSRRW,TOWER_032,SMS,2197,41.38,0,2025-06-08
CALL_0000291,6092-QZVPP,TOWER_017,SMS,1720,8.66,0,2025-06-01
CALL_0000292,2665-NPTGL,TOWER_032,SMS,2814,30.36,0,2026-03-31
CALL_0000293,3221-CJMSG,TOWER_015,SMS,996,43.84,0,2025-10-17
CALL_0000294,2898-MRKPI,TOWER_035,SMS,1305,20.48,0,2025-08-02
CALL_0000295,3470-OBUET,TOWER_049,Data,3027,1.24,0,2025-05-26
CALL_0000296,0298-XACET,TOWER_035,SMS,2608,21.49,0,2026-04-22
CALL_0000297,4929-BSTRX,TOWER_008,Data,1960,35.04,1,2025-11-24
CALL_0000298,1336-EZFZY,TOWER_032,Voice,1660,25.96,0,2025-10-28
CALL_0000299,8344-WFMFH,TOWER_001,Data,3132,0.21,0,2025-08-28
CALL_0000300,5449-FIBXJ,TOWER_043,Voice,740,11.27,0,2026-02-19
CALL_0000301,2004-OCQXK,TOWER_011,Voice,1612,33.97,0,2025-09-01
CALL_0000302,0292-WEGCH,TOWER_050,Data,2209,49.44,0,2025-10-18
CALL_0000303,5275-PMFUT,TOWER_026,SMS,616,36.65,0,2025-05-15
CALL_0000304,7044-YAACC,TOWER_012,Voice,2338,7.02,0,2025-08-12
CALL_0000305,3540-RZJYU,TOWER_030,SMS,162,27.92,0,2026-01-28
CALL_0000306,0853-NWIFK,TOWER_018,Voice,1762,31.21,0,2025-08-22
CALL_0000307,2263-SFSQZ,TOWER_035,Voice,649,6.43,0,2025-12-10
CALL_0000308,4091-TVOCN,TOWER_003,SMS,2834,36.51,0,2025-05-19
CALL_0000309,4998-IKFSE,TOWER_028,SMS,2451,35.87,0,2025-10-10
CALL_0000310,9734-UYXQI,TOWER_019,SMS,533,14.98,0,2025-05-04
CALL_0000311,6954-OOYZZ,TOWER_048,SMS,2098,27.72,0,2025-11-18
CALL_0000312,6859-QNXIQ,TOWER_019,Data,1851,31.34,0,2025-08-10
CALL_0000313,1685-VAYJF,TOWER_049,Voice,2848,32.78,0,2026-03-28
CALL_0000314,8224-IVVPA,TOWER_012,Voice,2229,20.14,0,2025-12-30
CALL_0000315,8564-LDKFL,TOWER_035,SMS,765,1.41,0,2025-10-18
CALL_0000316,1561-BWHIN,TOWER_025,Voice,2516,3.27,0,2025-07-20
CALL_0000317,5204-HMGYF,TOWER_030,Data,2501,26.66,0,2026-04-07
CALL_0000318,3629-WEAAM,TOWER_040,SMS,1788,25.34,0,2026-04-16
CALL_0000319,1709-EJDOX,TOWER_009,Data,2115,28.88,0,2026-01-06
CALL_0000320,0440-QEXBZ,TOWER_003,SMS,2180,15.98,1,2025-09-02
